OID_,Civil_Count,Food_Count,HealthCare_Count,town,town_id,coast,taz,ES_FLAG,OBJECTID,Civil_Count1,Food_Count1,HealthCare_Count1,town_1,town_id_1,coast_1,taz_1,BUFF_DIST,shape_Length_1,shape_Area_1,ES_FLAG1,Shape_Length,Shape_Area,ES_FLAG_ALL,OBJECTID_12,taz_12,HLTH_COUNT,town_12,ES_COUNT05,HLTH_COUNT05,HIED_COUNT05,shape_Length_12,shape_Area_12,ES_COUNT1,HLTH_COUNT1,HIED_COUNT1,shape_Length_12_13,shape_Area_12_13,HIED_COUNT,ES_DEN_TAZ,ES_DEN_1,ES_DEN_05,ES_COUNT,OBJECTID_1,Join_Count,TARGET_FID,town_12_13,town_id_12,coast_12,objectid_12_13,taz_12_13,ORIG_FID,BUFF_DIST_1,COLLEGE,CAMPUS,ADDRESS,CITY,ZIPCODE,PLUS_FOUR,GEOG_TOWN,MAIN_TEL,URL,NCES_ID,TYPE,NCES_TYPE,CATEGORY,DEGREEOFFR,AWARDSOFFR,LARGEPROG,CAMPUSSETT,CAMPUSHOUS,L_SRC,CE_OBJECTID,FID,CE_College,Undergraduate_Enrollment,Graduate_Enrollment,Total_Enrollment,One,Lat,Lng,HIED_ID,shape_Length_12_13_14,shape_Area_12_13_14,HIED_Count5,Shape_Length_12_13_14_15,Shape_Area_12_13_14_15,HLTH_COUNT05m,HIED_COUNT05m,ES_COUNT05m,HLTH_COUNT1m,HIED_COUNT1m,ES_COUNT1m,ES_DEN_05m,ES_DEN_1m
1,1,0,0,BROOKLINE,46,N,754,0,1,2,2,0,BROOKLINE,46,N,754,1609.347218694437515,10111.826798650974524,8136720.167163999751210,1,8024.930987371116316,2855001.020045002922416,1,754,754,,BROOKLINE,2,0,0,5055.913399325487262,2034180.041791053256020,4,0,0,10111.826798650974524,8136720.167164213024080,,1.814351793292532,1.273239544735163,2.546479089470326,2,1,33,1,BROOKLINE,46,N,46,754,1,8046.736093472188259,Boston College (Main Campus),Main Campus,140 Commonwealth Avenue,Chestnut Hill,02467, ,NEWTON,(617) 552-8000,http://www.bc.edu,164924,PRI,"4-year, Private not-for-profit",Research University,"C, B, PBC, M, PMC, D",Less than one year certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice, ,City: Small,Yes,nces.ed.gov,10,GISDATA.COLLEGES_PT.117,Boston College (Main Campus),N/A,13696,13696,1,42.335021249951438,-71.168754835547645,4-Boston College (Main Campus),50559.133993256335089,203418004.179117113351822,33,8024.930987371116316,2855001.020045002922416,0,0,2,0,0,4,1.814351793292530,1.273239544735160
2,0,2,0,CANTON,50,N,1688,0,2,0,2,0,CANTON,50,N,1688,1609.347218694437515,10111.826798650974524,8136720.167163999751210,0,11663.322603845139383,7483301.328252893872559,0,1593,1688,,CANTON,1,0,0,5055.913399325487262,2034180.041791053256020,2,0,0,10111.826798650974524,8136720.167164213024080,,0.692204682579582,0.636619772367581,1.273239544735163,2,2,2,2,CANTON,50,N,50,1688,2,8046.736093472188259,Blue Hills Regional Technical School Practical Nursing Program, ,800 Randolph Street,Canton,02021, ,CANTON,(781) 828-5800,https://www.bluehills.org/practical_nursing/overview,243799,PUB,"< 2-year, Public",Medical Program,C,One but less than two years certificate,Licensed Practical/Vocational Nurse Training,Suburb: Large,No,nces.ed.gov,8,GISDATA.COLLEGES_PT.57,Blue Hills Regional Technical School Practical Nursing Program,54,N/A,54,1,42.182142545748263,-71.104139036847329,37-Blue Hills Regional Technical School,50559.133993256335089,203418004.179117113351822,2,11663.322603845139383,7483301.328252893872559,0,0,2,0,0,2,0.692204682579582,0.636619772367581
3,0,1,0,BOSTON,35,N,89,0,3,14,115,37,BOSTON,35,N,89,1609.347218694437515,10111.826798650974524,8136720.167163999751210,1,561.827799923211273,17646.914129411317845,1,89,89,,BOSTON,41,2,3,5055.913399325487262,2034180.041791053256020,169,17,12,10111.826798650974524,8136720.167164213024080,,146.767196309337322,53.794370765060627,52.202821334141674,1,3,45,3,BOSTON,35,N,35,89,3,8046.736093472188259,Boston College (Main Campus),Main Campus,140 Commonwealth Avenue,Chestnut Hill,02467, ,NEWTON,(617) 552-8000,http://www.bc.edu,164924,PRI,"4-year, Private not-for-profit",Research University,"C, B, PBC, M, PMC, D",Less than one year certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice, ,City: Small,Yes,nces.ed.gov,10,GISDATA.COLLEGES_PT.117,Boston College (Main Campus),N/A,13696,13696,1,42.335021249951438,-71.168754835547645,4-Boston College (Main Campus),50559.133993256335089,203418004.179117113351822,45,561.827799923211273,17646.914129411317845,2,3,41,17,12,169,52.202821334141703,53.794370765060599
4,0,2,1,BURLINGTON,48,N,1385,1,4,0,6,2,BURLINGTON,48,N,1385,1609.347218694437515,10111.826798650974524,8136720.167163999751210,1,8891.339510147094188,3068295.129520387854427,1,1316,1385,,BURLINGTON,0,0,0,5055.913399325487262,2034180.041791053256020,8,0,0,10111.826798650974524,8136720.167164213024080,,5.064678593724793,2.546479089470326,0.000000000000000,6,4,2,4,BURLINGTON,48,N,48,1385,4,8046.736093472188259,Catherine Hinds Institute of Esthetics, ,300 Wildwood Avenue,Woburn,01801, ,WOBURN,(781) 935-3344,http://www.catherinehinds.edu,165255,PRI,"< 2-year, Private for-profit",Private Vocational School,C,Less than one year certificate;One but less than two years certificate,Master Aesthetician/Esthetician,Suburb: Large,No,nces.ed.gov,19,GISDATA.COLLEGES_PT.204,Catherine Hinds Institute of Esthetics,210,N/A,210,1,42.493277753112032,-71.137146571566248,86-Catherine Hinds Institute of Esthetics,50559.133993256335089,203418004.179117113351822,2,8891.339510147094188,3068295.129520387854427,0,0,6,0,0,8,5.064678593724790,2.546479089470330
5,0,1,0,CAMBRIDGE,49,N,727,0,5,4,18,5,CAMBRIDGE,49,N,727,1609.347218694437515,10111.826798650974524,8136720.167163999751210,1,3619.179665515747729,432527.556067736353725,1,727,727,,CAMBRIDGE,10,2,0,5055.913399325487262,2034180.041791053256020,27,2,0,10111.826798650974524,8136720.167164213024080,,11.976060595222382,8.594366926962348,12.732395447351628,2,5,39,5,CAMBRIDGE,49,N,49,727,5,8046.736093472188259,Boston College (Main Campus),Main Campus,140 Commonwealth Avenue,Chestnut Hill,02467, ,NEWTON,(617) 552-8000,http://www.bc.edu,164924,PRI,"4-year, Private not-for-profit",Research University,"C, B, PBC, M, PMC, D",Less than one year certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice, ,City: Small,Yes,nces.ed.gov,10,GISDATA.COLLEGES_PT.117,Boston College (Main Campus),N/A,13696,13696,1,42.335021249951438,-71.168754835547645,4-Boston College (Main Campus),50559.133993256335089,203418004.179117113351822,39,3619.179665515747729,432527.556067736353725,2,0,10,2,0,27,12.732395447351600,8.594366926962349
6,0,0,1,BOSTON,35,N,90,0,6,17,132,43,BOSTON,35,N,90,1609.347218694437515,10111.826798650974524,8136720.167163999751210,1,566.302160765476401,17823.428114709207875,1,90,90,,BOSTON,45,2,3,5055.913399325487262,2034180.041791053256020,195,21,12,10111.826798650974524,8136720.167164213024080,,145.313690139546082,62.070427805839181,57.295779513082323,1,6,45,6,BOSTON,35,N,35,90,6,8046.736093472188259,Boston College (Main Campus),Main Campus,140 Commonwealth Avenue,Chestnut Hill,02467, ,NEWTON,(617) 552-8000,http://www.bc.edu,164924,PRI,"4-year, Private not-for-profit",Research University,"C, B, PBC, M, PMC, D",Less than one year certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice, ,City: Small,Yes,nces.ed.gov,10,GISDATA.COLLEGES_PT.117,Boston College (Main Campus),N/A,13696,13696,1,42.335021249951438,-71.168754835547645,4-Boston College (Main Campus),50559.133993256335089,203418004.179117113351822,45,566.302160765476401,17823.428114709207875,2,3,45,21,12,195,57.295779513082302,62.070427805839202
7,1,0,0,ACTON,2,N,1459,0,7,1,0,0,ACTON,2,N,1459,1609.347218694437515,10111.826798650974524,8136720.167163999751210,0,9971.240449089835238,5343310.662926949560642,0,1363,1459,,ACTON,0,0,0,5055.913399325487262,2034180.041791053256020,1,0,0,10111.826798650974524,8136720.167164213024080,,0.969431977165478,0.318309886183791,0.000000000000000,2,7,0,7,ACTON,2,N,2,1459,7,8046.736093472188259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50559.133993256335089,203418004.179117113351822,0,9971.240449089835238,5343310.662926949560642,0,0,2,0,0,1,0.969431977165478,0.318309886183791
8,0,2,0,BOSTON,35,N,66,0,8,21,174,45,BOSTON,35,N,66,1609.347218694437515,10111.826798650974524,8136720.167163999751210,1,862.001776576907446,32842.249510865280172,1,66,66,,BOSTON,107,8,3,5055.913399325487262,2034180.041791053256020,241,21,8,10111.826798650974524,8136720.167164213024080,,157.722942177177771,76.712682570293552,136.236631286662401,2,8,42,8,BOSTON,35,N,35,66,8,8046.736093472188259,Harvard University (School of Public Health),School of Public Health,677 Huntington Ave,Boston,02115, ,BOSTON,(617) 432-1031,http://www.hsph.harvard.edu/,166027,PRI,"4-year, Private not-for-profit",Research University,"A, B, PBC, M, PMC, D",Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice, ,City: Midsize,Yes,IN-WEBSITE,36,GISDATA.COLLEGES_PT.118,Harvard University (School of Public Health),N/A,2169,2169,1,42.335311323962586,-71.102951174040868,5-Harvard University (School of Public Health),50559.133993256335089,203418004.179117113351822,42,862.001776576907446,32842.249510865280172,8,3,107,21,8,241,136.236631286662004,76.712682570293595
9,1,0,0,BOSTON,35,N,67,0,9,20,168,38,BOSTON,35,N,67,1609.347218694437515,10111.826798650974524,8136720.167163999751210,1,556.712839889414795,18765.849057022573106,1,67,67,,BOSTON,94,3,0,5055.913399325487262,2034180.041791053256020,228,18,6,10111.826798650974524,8136720.167164213024080,,276.032073200130014,72.574654049904282,119.684517205105294,2,9,42,9,BOSTON,35,N,35,67,9,8046.736093472188259,Harvard University (School of Public Health),School of Public Health,677 Huntington Ave,Boston,02115, ,BOSTON,(617) 432-1031,http://www.hsph.harvard.edu/,166027,PRI,"4-year, Private not-for-profit",Research University,"A, B, PBC, M, PMC, D",Associate's degree;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree - professional practice, ,City: Midsize,Yes,IN-WEBSITE,36,GISDATA.COLLEGES_PT.118,Harvard University (School of Public Health),N/A,2169,2169,1,42.335311323962586,-71.102951174040868,5-Harvard University (School of Public Health),50559.133993256335089,203418004.179117113351822,42,556.712839889414795,18765.849057022573106,3,0,94,18,6,228,119.684517205104996,72.574654049904296
10,0,0,0,BOSTON,35,N,185,0,10,1,0,0,BOSTON,35,N,185,1609.347218694437515,10111.826798650974524,8136720.167163999751210,0,17349.936902376055514,4870561.646010817028582,0,185,185,,BOSTON,0,0,0,5055.913399325487262,2034180.041791053256020,1,0,0,10111.826798650974524,8136720.167164213024080,,0.000000000000000,0.318309886183791,0.000000000000000,0,10,27,10,BOSTON,35,N,35,185,10,8046.736093472188259,Boston University School of Medicine,Medical Campus,72 E Concord Street,Boston,02118, ,BOSTON,(617) 638-5300,http://www.bumc.bu.edu/busm/,164988,PRI,"4-year, Private not-for-profit",Medical School,"C, B, PBC, M, PMC, D",Less than one year certificate;One but less than two years certificate;Two but less than 4 years certificate;Bachelor's degree;Postbaccalaureate certificate;Master's degree;Post-master's certificate;Doctor's degree - research/scholarship;Doctor's degree, ,City: Large,Yes,nces.ed.gov,15,GISDATA.COLLEGES_PT.121,Boston University School of Medicine,N/A,3158,3158,1,42.336321981087544,-71.072455144188837,7-Boston University School of Medicine,50559.133993256335089,203418004.179117113351822,27,17349.936902376055514,4870561.646010817028582,0,0,0,0,0,1,0.000000000000000,0.318309886183791
