OID_	taz	HLTH_COUNT	town	ES_COUNT05	HLTH_COUNT05	HIED_COUNT05	ES_COUNT1	HLTH_COUNT1	HIED_COUNT1	HIED_COUNT	ES_DEN_TAZ	ES_DEN_1	ES_DEN_05	ES_COUNT	HIED_Count5	Shape_Length	Shape_Area	HLTH_COUNT05m	HIED_COUNT05m	ES_COUNT05m	HLTH_COUNT1m	HIED_COUNT1m	ES_COUNT1m	ES_DEN_05m	ES_DEN_1m
1	1		BOSTON	30	4	2	156	10	8		13.98764125	49.65634224	38.19718634	1	45	1796.039587	185162.6063	4	2	30	10	8	156	38.19718634	49.65634224
2	2		BOSTON	65	7	2	171	12	10		177.8047116	54.43099054	82.76057041	4	45	1018.82292	58265.90503	7	2	65	12	10	171	82.76057041	54.43099054
3	3		BOSTON	94	6	2	199	17	11		130.3484861	63.34366735	119.6845172	4	45	1123.091709	79478.8858	6	2	94	17	11	199	119.6845172	63.34366735
4	4		BOSTON	59	3	1	153	10	7		0	48.70141259	75.12113314	0	45	1600.350432	72515.80311	3	1	59	10	7	153	75.12113314	48.70141259
5	5	1	BOSTON	47	2	1	174	11	7		69.02571017	55.3859202	59.8422586	3	44	1614.297676	112566.2353	2	1	47	11	7	174	59.8422586	55.3859202
6	6		BOSTON	81	4	2	200	13	8		451.5076638	63.66197724	103.1324031	13	45	1299.900354	74572.03528	4	2	81	13	8	200	103.1324031	63.66197724
7	7		BOSTON	40	2	1	184	10	3		27.21985939	58.56901906	50.92958179	1	43	3082.406503	95150.67925	2	1	40	10	3	184	50.92958179	58.56901906
8	8	1	BOSTON	64	2	1	184	11	6		370.003412	58.56901906	81.48733086	7	43	937.1979066	48999.32321	2	1	64	11	6	184	81.48733086	58.56901906
9	9	1	BOSTON	60	2	1	182	10	4		375.1105866	57.93239929	76.39437268	6	43	895.9821952	41427.59287	2	1	60	10	4	182	76.39437268	57.93239929
10	10	1	BOSTON	85	4	1	214	15	8	1	877.9398771	68.11831564	108.2253613	21	43	1268.50894	61951.56609	4	1	85	15	8	214	108.2253613	68.11831564
11	11		BOSTON	87	4	1	214	14	7	1	110.7022242	68.11831564	110.7718404	3	43	1108.432742	70187.96945	4	1	87	14	7	214	110.7718404	68.11831564
12	12		BOSTON	77	4	1	215	14	5		0	68.43662553	98.03944494	0	43	3014.51401	89321.89059	4	1	77	14	5	215	98.03944494	68.43662553
13	13		BOSTON	79	2	1	211	14	6		0	67.16338598	100.585924	0	44	2556.266069	84096.58025	2	1	79	14	6	211	100.585924	67.16338598
14	14		BOSTON	84	3	0	228	18	6		0	72.57465405	106.9521218	0	41	1007.033331	38172.20373	3	0	84	18	6	228	106.9521218	72.57465405
15	15		BOSTON	94	5	2	237	18	7		208.1049713	75.43944303	119.6845172	3	41	851.2316096	37336.75502	5	2	94	18	7	237	119.6845172	75.43944303
16	16		BOSTON	106	9	4	261	20	8		236.3292298	83.07888029	134.9633917	1	41	500.2985491	10959.2373	9	4	106	20	8	261	134.9633917	83.07888029
17	17	1	BOSTON	94	11	4	266	21	9		559.3833322	84.67042972	119.6845172	8	41	774.0704928	37040.619	11	4	94	21	9	266	119.6845172	84.67042972
18	18	1	BOSTON	93	10	4	261	18	9		777.2577588	83.07888029	118.4112777	8	41	695.1065014	26657.70093	10	4	93	18	9	261	118.4112777	83.07888029
19	19		BOSTON	78	7	3	254	18	7		111.5086933	80.85071109	99.31268449	5	41	1459.513526	116133.91	7	3	78	18	7	254	99.31268449	80.85071109
20	20		BOSTON	76	12	3	234	21	9		57.87145462	74.48451337	96.7662054	4	41	2377.472509	179016.6242	12	3	76	21	9	234	96.7662054	74.48451337
21	21	1	BOSTON	36	4	2	185	12	10		37.35294764	58.88732894	45.83662361	3	45	2295.060578	208014.7571	4	2	36	12	10	185	45.83662361	58.88732894
22	22	4	BOSTON	35	4	2	192	14	10		48.31475637	61.11549815	44.56338407	4	47	2160.865101	214426.2585	4	2	35	14	10	192	44.56338407	61.11549815
23	23	1	BOSTON	41	4	1	230	20	11		266.9491841	73.21127382	52.20282133	4	47	891.3008866	38808.70614	4	1	41	20	11	230	52.20282133	73.21127382
24	24	1	BOSTON	65	5	1	223	19	11		716.951556	70.98310462	82.76057041	13	45	948.8559628	46962.51113	5	1	65	19	11	223	82.76057041	70.98310462
25	25		BOSTON	29	4	1	234	19	11		73.91221325	74.48451337	36.9239468	5	47	1973.065117	175207.0461	4	1	29	19	11	234	36.9239468	74.48451337
26	26		BOSTON	13	0	2	127	14	10		19.37629017	40.42535555	16.55211408	5	47	4284.522947	668339.524	0	2	13	14	10	127	16.55211408	40.42535555
27	27		BOSTON	56	5	3	236	20	11		453.7954934	75.12113314	71.30141451	11	45	1009.090296	62781.29604	5	3	56	20	11	236	71.30141451	75.12113314
28	28		BOSTON	62	8	5	252	20	11		158.467922	80.21409132	78.94085177	7	47	1442.810492	114407.4873	8	5	62	20	11	252	78.94085177	80.21409132
29	29		BOSTON	98	7	2	206	17	11		52.33559298	65.57183655	124.7774754	1	45	1042.088816	49488.08187	7	2	98	17	11	206	124.7774754	65.57183655
30	30		BOSTON	94	5	2	225	19	10		543.5326455	71.61972439	119.6845172	8	45	785.5471737	38120.81032	5	2	94	19	10	225	119.6845172	71.61972439
31	31		BOSTON	105	8	4	235	20	11		197.9232903	74.80282325	133.6901522	3	44	812.3558977	39257.45333	8	4	105	20	11	235	133.6901522	74.80282325
32	32		BOSTON	105	7	2	202	16	10		255.9813106	64.29859701	133.6901522	6	45	1301.309513	60707.27829	7	2	105	16	10	202	133.6901522	64.29859701
33	33		BOSTON	113	6	3	221	19	10	1	195.024872	70.34648485	143.8760686	2	45	688.4780736	26560.59284	6	3	113	19	10	221	143.8760686	70.34648485
34	34		BOSTON	124	7	5	227	19	11	1	640.927628	72.25634416	157.8817035	3	44	437.0284231	12122.99797	7	5	124	19	11	227	157.8817035	72.25634416
35	35		BOSTON	122	7	4	221	19	10	1	226.8162356	70.34648485	155.3352245	3	44	774.0676112	34256.6497	7	4	122	19	10	221	155.3352245	70.34648485
36	36	1	BOSTON	116	5	3	205	18	9		266.1253784	65.25352667	147.6957872	9	44	1215.578854	87589.89139	5	3	116	18	9	205	147.6957872	65.25352667
37	37		BOSTON	108	4	2	195	16	10		574.7452024	62.07042781	137.5098708	10	44	910.4699916	45063.24019	4	2	108	16	10	195	137.5098708	62.07042781
38	38		BOSTON	107	3	3	213	18	7		2044.645331	67.80000576	136.2366313	13	44	546.8194176	16467.32806	3	3	107	18	7	213	136.2366313	67.80000576
39	39		BOSTON	99	4	2	214	16	6		693.9224668	68.11831564	126.0507149	16	44	973.6029939	59718.21312	4	2	99	16	6	214	126.0507149	68.11831564
40	40		BOSTON	134	6	4	233	20	11		227.886571	74.16620348	170.614099	2	44	628.6295354	22730.50228	6	4	134	20	11	233	170.614099	74.16620348
41	41	1	BOSTON	128	4	4	231	19	7		716.4813573	73.52958371	162.9746617	8	44	692.6398929	28918.9728	4	4	128	19	7	231	162.9746617	73.52958371
42	42		BOSTON	124	6	4	224	19	7		1147.549641	71.30141451	157.8817035	3	44	389.0981668	6770.917833	6	4	124	19	7	224	157.8817035	71.30141451
43	43		BOSTON	121	4	3	222	18	7		641.5945444	70.66479473	154.0619849	2	44	397.9629309	8073.597672	4	3	121	18	7	222	154.0619849	70.66479473
44	44		BOSTON	105	3	3	221	18	7		0	70.34648485	133.6901522	0	44	446.3271305	11105.34189	3	3	105	18	7	221	133.6901522	70.34648485
45	45	1	BOSTON	100	3	3	216	18	7		1594.766763	68.75493542	127.3239545	12	44	564.9606626	19488.65379	3	3	100	18	7	216	127.3239545	68.75493542
46	46		BOSTON	95	3	2	223	19	6		1620.73756	70.98310462	120.9577567	14	44	671.8811406	22372.42749	3	2	95	19	6	223	120.9577567	70.98310462
47	47		BOSTON	137	8	5	235	19	9		450.0177669	74.80282325	174.4338176	4	44	618.8366801	23021.20761	8	5	137	19	9	235	174.4338176	74.80282325
48	48		BOSTON	129	5	4	230	19	7		1047.123501	73.21127382	164.2479013	7	44	576.1566948	17314.01956	5	4	129	19	7	230	164.2479013	73.21127382
49	49	1	BOSTON	115	3	3	223	19	7		712.2832418	70.98310462	146.4225476	2	44	340.3342413	7272.354474	3	3	115	19	7	223	146.4225476	70.98310462
50	50	1	BOSTON	94	2	2	220	19	6		391.7829185	70.02817496	119.6845172	8	43	933.232027	52886.18748	2	2	94	19	6	220	119.6845172	70.02817496
51	51		BOSTON	138	10	5	248	22	9		117.3840575	78.94085177	175.7070572	1	43	604.2852644	22064.22375	10	5	138	22	9	248	175.7070572	78.94085177
52	52		BOSTON	122	10	5	244	21	9		588.3277214	77.66761223	155.3352245	8	42	754.9431566	35218.30457	10	5	122	21	9	244	155.3352245	77.66761223
53	53		BOSTON	122	8	4	234	22	8		518.1375767	74.48451337	155.3352245	6	42	712.2146707	29991.89667	8	4	122	22	8	234	155.3352245	74.48451337
54	54	1	BOSTON	116	3	3	228	19	7		1974.250992	72.57465405	147.6957872	8	42	418.7586767	10495.07128	3	3	116	19	7	228	147.6957872	72.57465405
55	55		BOSTON	116	10	5	246	22	9		859.8173064	78.304232	147.6957872	5	42	533.0646129	15061.26994	10	5	116	22	9	246	147.6957872	78.304232
56	56		BOSTON	114	9	5	243	22	8		0	77.34930234	145.1493081	0	42	449.6238687	11631.26945	9	5	114	22	8	243	145.1493081	77.34930234
57	57		BOSTON	110	8	3	234	22	8		369.0958827	74.48451337	140.0563499	3	42	622.3253875	21051.34383	8	3	110	22	8	234	140.0563499	74.48451337
58	58		BOSTON	102	3	3	228	19	6		1880.826237	72.57465405	129.8704336	8	42	421.3515616	11016.38443	3	3	102	19	6	228	129.8704336	72.57465405
59	59		BOSTON	110	10	5	250	22	8		183.9609377	79.57747155	140.0563499	1	42	515.597145	14079.01124	10	5	110	22	8	250	140.0563499	79.57747155
60	60		BOSTON	112	8	4	242	22	8		0	77.03099246	142.602829	0	42	438.6742314	10258.70594	8	4	112	22	8	242	142.602829	77.03099246
61	61		BOSTON	130	10	5	252	22	9		341.1759083	80.21409132	165.5211408	2	42	518.2696611	15182.71394	10	5	130	22	9	252	165.5211408	80.21409132
62	62		BOSTON	112	12	5	251	22	9	1	144.1889981	79.89578143	142.602829	2	42	781.8352195	35924.90611	12	5	112	22	9	251	142.602829	79.89578143
63	63		BOSTON	122	12	5	255	22	9		416.6178296	81.16902098	155.3352245	5	42	736.4671739	31083.50059	12	5	122	22	9	255	155.3352245	81.16902098
64	64		BOSTON	116	12	5	251	22	9		317.1217416	79.89578143	147.6957872	2	42	543.6766499	16334.3459	12	5	116	22	9	251	147.6957872	79.89578143
65	65		BOSTON	110	12	5	254	22	9		87.74337455	80.85071109	140.0563499	1	42	882.724934	29517.76272	12	5	110	22	9	254	140.0563499	80.85071109
66	66		BOSTON	107	8	3	241	21	8		157.7229422	76.71268257	136.2366313	2	42	862.0017766	32842.24951	8	3	107	21	8	241	136.2366313	76.71268257
67	67		BOSTON	94	3	0	228	18	6		276.0320732	72.57465405	119.6845172	2	42	556.7128399	18765.84906	3	0	94	18	6	228	119.6845172	72.57465405
68	68		BOSTON	75	3	1	220	18	6		268.5341443	70.02817496	95.49296586	2	42	546.0907501	19289.8234	3	1	75	18	6	220	95.49296586	70.02817496
69	69	2	BOSTON	104	10	5	260	21	9	1	1089.803437	82.76057041	132.4169127	7	42	522.8449149	16635.95118	10	5	104	21	9	260	132.4169127	82.76057041
70	70		BOSTON	105	12	5	263	21	9		721.2928058	83.71550007	133.6901522	6	42	718.4671587	21544.54964	12	5	105	21	9	263	133.6901522	83.71550007
