"ID","Area","ID:1","Link_Check","NA_Corridor","NA_Corridor_ID","NA_Corridor2","NA_Corridor2_ID","Radial Corridor_2014 LRTP","District_2014 LRTP","Region_2014 LRTP","CTPS_TAZ_ID","In_CTPS_Model","In_101","In_63","CTPS_Exact_Match","TAZ_ID","PopEmpDensity","Pop2XEmpDens","Speed_Density_Area","Trip_Gen_LU","LU_Type_Old","FareZone","District_Class_446","District_Class","District_Class_backup","TAZ_Geography_Code","Merge_Value","Aggregation_Field","Uses_CTPS_TAZ_ID","RPA","ID_From_Nodes","TAZ_Type","Zone_Type","CTPS_TAZ_ID:1","RPA_TAZ_ID","SRPEDD_ID","ADT","Func_Class","Ext_Ext_Percent","K_Factor_Group","State","County","Town","Tract","BlkGrp","gc","Zero","AM_wacc_fact","MD_wacc_fact","PM_wacc_fact","NT_wacc_fact","wacc_fact","wegr_fact","park_cost","half_park_cost","park_cost_backup","park_cost_8_hour_2017","park_cost_1_hour_2017","parking_offstreet","parking_onstreet","Acres","HhdPerAcre","EmpPerAcre","Hwy Prod Term Time","Hwy Attr Term Time","TerminalTime","TerminalTime_Old","ManualTermTime","walk_prod_terminal_time","walk_attr_terminal_time","bike_prod_terminal_time","bike_attr_terminal_time","allow_DAT_trip_origins","PopulationDensity","VehiclesPerWorker","HouseholdSize","SquareRootPopD","SquareRootEmpD","PercentSOV_PK","PercentSOV_NP","Egr_PEV","Acc_PEV","AvgVehPer","WorkDummy","PercentSOV","PUMA","ST_PUMA","Tot_Emp","Srv_Emp","Ret_Emp","Bas_Emp","Coll_Emp","K12G_Emp","K12P_Emp","Tot_Pop","GQ_Pop","Dorm_Pop","HH_Pop","HH","Income1","Income2","Income3","Income4","Worker0","Worker1","Worker2","Worker3p","HHSize1","HHSize2","HHSize3","HHSize4p","Veh0","Veh1","Veh2","Veh3p","TriProp_p","TriProp_a","AQ_divider","MAPC_Flag","EMass_Flag","AM_VMT","AM_VHT","AM_Auto_VMT","AM_Auto_VHT","AM_TRK_VMT","AM_TRK_VHT","AM_CO","AM_NOX","AM_VOC","AM_CO2","MD_VMT","MD_VHT","MD_Auto_VMT","MD_Auto_VHT","MD_TRK_VMT","MD_TRK_VHT","MD_CO","MD_NOX","MD_VOC","MD_CO2","PM_VMT","PM_VHT","PM_Auto_VMT","PM_Auto_VHT","PM_TRK_VMT","PM_TRK_VHT","PM_CO","PM_NOX","PM_VOC","PM_CO2","NT_VMT","NT_VHT","NT_Auto_VMT","NT_Auto_VHT","NT_TRK_VMT","NT_TRK_VHT","NT_CO","NT_NOX","NT_VOC","NT_CO2","Dly_VMT","Dly_VHT","Dly_Auto_VMT","Dly_Auto_VHT","Dly_TRK_VMT","Dly_TRK_VHT","Dly_CO","Dly_NOX","Dly_VOC","Dly_CO2","Casino","Age0to4_enrollment","Age5to14_enrollment","Age15to18_enrollment","Age19plus_commuters","Age19plus_dorms","EFactor_preK","EFactor_Kto8","EFactor_HighSchool","EFactor_College","CTPS_Town_ID","CTPS_RegionalHS_ID","College_Dorm_ID"
2638,2.057222,,0,"SE",8,"Inner",3,"SE",41,8,2638,1,1,1,1,2638,3061,7120,4,3,"NonDense",7,171,64,81,,,,1,"MAPC",1900,"Internal_Centroid","Internal",2638,,,0,,,0,"MA","Plymouth MA","MARSHFIELD,MA","25023506102",4,3,,1.000000,1.000000,1.000000,1.000000,4.000000,4.000000,0.000000,0.000000,0.000000,,,,,1316.622314,0.665339,3.492270,1,1,1,2.000000,,0.000000,0.000000,1.000000,2.000000,,,1.125092,2.352761,0.160241,0.031435,0.000000,0.000000,3.100000,3.100000,0.278542,,0.814440,4903,254903,4598.000000,1498.000000,342.000000,977.000000,0.000000,423.000000,0.000000,2301.000000,0.000000,0.000000,2301.000000,978.000000,222.000000,178.000000,111.000000,467.000000,126.000000,371.000000,354.000000,127.000000,301.000000,280.000000,186.000000,211.000000,87.000000,376.000000,300.000000,215.000000,2573.148247,5061.862305,"*",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,68.000000,1444.000000,1487.000000,0.000000,0.000000,0.008356,0.125418,0.055069,0.055734,81,81,
2642,1.981347,,0,"SE",8,"Inner",3,"SE",41,8,2642,1,1,1,1,2642,1506,3296,4,3,"NonDense",7,171,64,81,,,,1,"MAPC",1904,"Internal_Centroid","Internal",2642,,,0,,,0,"MA","Plymouth MA","MARSHFIELD,MA","25023506202",1,3,,0.923375,0.923375,0.923375,0.923375,3.693500,3.693500,0.000000,0.000000,0.000000,,,,,1268.062134,0.436099,1.398196,1,1,1,2.000000,,0.000000,0.000000,1.000000,2.000000,,,1.270377,2.459507,0.127225,0.020693,0.000000,0.000000,2.640000,2.640000,0.202188,,0.795825,4903,254903,1773.000000,1348.000000,386.000000,52.000000,0.000000,0.000000,0.000000,1397.000000,0.000000,0.000000,1397.000000,568.000000,117.000000,84.000000,129.000000,238.000000,139.000000,148.000000,226.000000,55.000000,156.000000,180.000000,93.000000,139.000000,51.000000,192.000000,209.000000,116.000000,1375.743340,3161.467529,"*",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008356,0.125418,0.055069,0.055734,81,81,
1909,4.084445,,0,"SE",8,"Inner",3,"SE",31,8,1909,1,1,1,1,1909,518,547,4,3,"NonDense",5,219,167,109,,,,1,"MAPC",1719,"Internal_Centroid","Internal",1909,,,0,,,0,"MA","Plymouth MA","NORWELL,MA","25023504102",2,3,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,2614.045105,0.268167,0.022570,1,1,1,2.000000,,0.000000,0.000000,1.000000,2.000000,,,1.730827,2.851312,0.104851,0.000337,0.000000,0.000000,2.840000,2.840000,0.302468,,0.821870,4902,254902,59.000000,28.000000,3.000000,29.000000,0.000000,0.000000,0.000000,1956.000000,0.000000,0.000000,1956.000000,686.000000,91.000000,153.000000,210.000000,232.000000,141.000000,237.000000,248.000000,60.000000,88.000000,239.000000,138.000000,221.000000,7.000000,108.000000,293.000000,278.000000,1705.143365,107.339905,"*",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015704,0.179880,0.077472,0.053281,109,109,
2636,6.643752,,0,"SE",8,"Inner",3,"SE",41,8,2636,1,1,1,1,2636,595,688,4,3,"NonDense",7,171,64,81,,,,1,"MAPC",1898,"Internal_Centroid","Internal",2636,,,0,,,0,"MA","Plymouth MA","MARSHFIELD,MA","25023506102",2,3,,0.094804,0.094804,0.094804,0.094804,0.379218,0.379218,0.000000,0.000000,0.000000,,,,,4252.001038,0.306914,0.072672,1,1,1,2.000000,,0.000000,0.000000,1.000000,2.000000,,,1.501659,2.705469,0.109405,0.001085,0.000000,0.000000,3.590000,3.590000,0.000000,,0.818253,4903,254903,309.000000,236.000000,21.000000,57.000000,0.000000,0.000000,0.000000,3464.000000,1.000000,0.000000,3463.000000,1280.000000,286.000000,327.000000,258.000000,409.000000,200.000000,531.000000,411.000000,138.000000,282.000000,394.000000,223.000000,381.000000,25.000000,304.000000,559.000000,392.000000,3210.458550,540.768188,"*",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008356,0.125418,0.055069,0.055734,81,81,
2639,4.075044,,0,"SE",8,"Inner",3,"SE",41,8,2639,1,1,1,1,2639,906,1145,4,3,"NonDense",7,171,64,81,,,,1,"MAPC",1901,"Internal_Centroid","Internal",2639,,,0,,,0,"MA","Plymouth MA","MARSHFIELD,MA","25023506101",4,3,,0.492303,0.492303,0.492303,0.492303,1.969211,1.969211,0.000000,0.000000,0.000000,,,,,2608.027954,0.472388,0.249230,1,1,1,2.000000,,0.000000,0.000000,1.000000,2.000000,,,1.619833,2.748571,0.138642,0.002715,0.000000,0.000000,2.960000,2.960000,0.219923,,0.796165,4903,254903,650.000000,339.000000,12.000000,131.000000,0.000000,164.000000,0.000000,3412.000000,45.000000,0.000000,3367.000000,1225.000000,264.000000,337.000000,342.000000,282.000000,345.000000,369.000000,405.000000,106.000000,275.000000,389.000000,211.000000,350.000000,38.000000,324.000000,535.000000,328.000000,2741.264702,829.791931,"*",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0.000000,801.000000,0.000000,0.000000,0.000000,0.008356,0.125418,0.055069,0.055734,81,81,
2641,1.633130,,0,"SE",8,"Inner",3,"SE",41,8,2641,1,1,1,1,2641,1735,2766,4,3,"NonDense",7,171,64,81,,,,1,"MAPC",1903,"Internal_Centroid","Internal",2641,,,0,,,0,"MA","Plymouth MA","MARSHFIELD,MA","25023506203",1,3,,0.997816,0.997816,0.997816,0.997816,3.991262,3.991262,0.000000,0.000000,0.000000,,,,,1045.203094,0.887866,0.888822,1,1,1,2.000000,,0.000000,0.000000,1.000000,2.000000,,,1.268937,2.455446,0.177130,0.011892,0.000000,0.000000,3.540000,3.540000,0.658486,,0.764391,4903,254903,929.000000,502.000000,157.000000,187.000000,0.000000,87.000000,0.000000,2232.000000,0.000000,0.000000,2232.000000,909.000000,248.000000,258.000000,215.000000,188.000000,194.000000,338.000000,300.000000,77.000000,332.000000,257.000000,140.000000,180.000000,120.000000,311.000000,289.000000,189.000000,2069.686577,1520.079834,"*",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,68.000000,385.000000,0.000000,0.000000,0.000000,0.008356,0.125418,0.055069,0.055734,81,81,
2643,2.721301,,0,"SE",8,"Inner",3,"SE",41,8,2643,1,1,1,1,2643,816,929,4,3,"NonDense",7,171,64,81,,,,1,"MAPC",1905,"Internal_Centroid","Internal",2643,,,0,,,0,"MA","Plymouth MA","MARSHFIELD,MA","25023506202",2,3,,0.978582,0.978582,0.978582,0.978582,3.914326,3.914326,0.000000,0.000000,0.000000,,,,,1741.632385,0.408238,0.088423,1,1,1,2.000000,,0.000000,0.000000,1.000000,2.000000,,,1.312035,2.683381,0.125700,0.001316,0.000000,0.000000,3.270000,3.270000,0.646132,,0.801922,4903,254903,154.000000,82.000000,6.000000,68.000000,0.000000,0.000000,0.000000,1873.000000,0.000000,0.000000,1873.000000,698.000000,166.000000,141.000000,178.000000,213.000000,185.000000,208.000000,242.000000,63.000000,139.000000,211.000000,132.000000,216.000000,80.000000,236.000000,243.000000,139.000000,1565.694146,276.043457,"*",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008356,0.125418,0.055069,0.055734,81,81,
1907,5.872868,,0,"SE",8,"Inner",3,"SE",31,8,1907,1,1,1,1,1907,574,681,4,3,"NonDense",5,219,167,109,,,,1,"MAPC",1717,"Internal_Centroid","Internal",1907,,,0,,,0,"MA","Plymouth MA","NORWELL,MA","25023504102",1,3,,0.003314,0.003314,0.003314,0.003314,0.013255,0.013255,0.000000,0.000000,0.000000,,,,,3758.635559,0.276430,0.103495,1,1,1,2.000000,,0.000000,0.000000,1.000000,2.000000,,,1.759849,2.814596,0.105623,0.001247,0.000000,0.000000,3.700000,3.700000,0.000000,,0.823062,4902,254902,389.000000,217.000000,43.000000,59.000000,0.000000,74.000000,0.000000,2854.000000,0.000000,0.000000,2854.000000,1014.000000,224.000000,198.000000,281.000000,311.000000,237.000000,352.000000,348.000000,77.000000,193.000000,311.000000,195.000000,315.000000,21.000000,156.000000,482.000000,355.000000,2376.534478,562.445679,"*",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,83.000000,491.000000,0.000000,0.000000,0.000000,0.015704,0.179880,0.077472,0.053281,109,109,
1915,2.867340,,0,"SE",8,"Inner",3,"SE",31,8,1915,1,1,1,1,1915,966,1501,4,3,"NonDense",7,264,118,128,,,,1,"MAPC",1725,"Internal_Centroid","Internal",1915,,,0,,,0,"MA","Plymouth MA","SCITUATE,MA","25023505102",4,3,,0.705745,0.705745,0.705745,0.705745,2.822979,2.822979,0.000000,0.000000,0.000000,,,,,1835.097504,0.366193,0.449022,1,1,1,2.000000,,0.000000,0.000000,1.000000,2.000000,,,1.518656,2.695473,0.130620,0.006157,0.000000,0.000000,3.840000,3.840000,0.642674,,0.817181,4903,254903,824.000000,472.000000,154.000000,143.000000,0.000000,0.000000,58.000000,2131.000000,166.000000,0.000000,1965.000000,729.000000,187.000000,192.000000,167.000000,183.000000,191.000000,301.000000,192.000000,45.000000,198.000000,214.000000,97.000000,220.000000,56.000000,257.000000,280.000000,136.000000,1436.881158,1379.564819,"*",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,28.000000,227.000000,0.000000,0.000000,0.000000,0.001599,0.143669,0.050353,0.055682,128,128,
2637,5.926843,,0,"SE",8,"Inner",3,"SE",41,8,2637,1,1,1,1,2637,619,683,4,3,"NonDense",7,171,64,81,,,,1,"MAPC",1899,"Internal_Centroid","Internal",2637,,,0,,,0,"MA","Plymouth MA","MARSHFIELD,MA","25023506101",1,3,,0.019795,0.019795,0.019795,0.019795,0.079179,0.079179,0.000000,0.000000,0.000000,,,,,3793.179626,0.362756,0.050354,1,1,1,2.000000,,0.000000,0.000000,1.000000,2.000000,,,1.795284,2.557111,0.115984,0.000744,0.000000,0.000000,3.050000,3.050000,0.513710,,0.794902,4903,254903,191.000000,101.000000,38.000000,53.000000,0.000000,0.000000,0.000000,3473.000000,3.000000,0.000000,3470.000000,1357.000000,311.000000,373.000000,397.000000,276.000000,433.000000,379.000000,432.000000,113.000000,340.000000,443.000000,198.000000,376.000000,21.000000,291.000000,645.000000,400.000000,2932.123345,347.687897,"*",1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008356,0.125418,0.055069,0.055734,81,81,
